University Name,Times Higher Education (THE) World University Ranking
"Birla Institute of Technology and Science, Pilani",801–1000
Boğaziçi University,801–1000
University of Brighton,801–1000
Cairo University,801–1000
University of Calabria,801–1000
Chapman University,801–1000
Institute of Chemical Technology,801–1000
Chengdu University,801–1000
"China University of Petroleum, Beijing",801–1000
Chulalongkorn University,801–1000
Clemson University,801–1000
University of Clermont Auvergne,801–1000
Coventry University,801–1000
CY Cergy Paris University,801–1000
University of Dayton,801–1000
University of Deusto,801–1000
Diego Portales University,801–1000
Donghua University,801–1000
Duzce University,801–1000
Edge Hill University,801–1000
"University of Engineering and Technology, Peshawar",801–1000
Ewha Womans University,801–1000
Federal University of Minas Gerais,801–1000
Universidade Federal de Sergipe,801–1000
Firat University,801–1000
Florida Agricultural and Mechanical University,801–1000
Florida Atlantic University,801–1000
University of Foggia,801–1000
University of the Free State,801–1000
Fujita Health University,801–1000
Fuzhou University,801–1000
University of Girona,801–1000
Guangdong University of Technology,801–1000
Hiroshima University,801–1000
Indian Institute of Technology Patna,801–1000
Indian Institute of Technology Gandhinagar,801–1000
Universitat Internacional de Catalunya,801–1000
University of Ioannina,801–1000
ISCTE-University Institute of Lisbon,801–1000
The Islamia University of Bahawalpur,801–1000
Istanbul Medeniyet University,801–1000
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,801–1000
University of Jaén,801–1000
Juntendo University,801–1000
Kansas State University,801–1000
Karlstad University,801–1000
Keio University,801–1000
Kerman University of Medical Sciences,801–1000
Kindai University,801–1000
King Faisal University,801–1000
King Khalid University,801–1000
King Mongkut’s University of Technology Thonburi,801–1000
Kingston University,801–1000
KL University,801–1000
Kobe University,801–1000
Kurume University,801–1000
Kuwait University,801–1000
Kyungpook National University,801–1000
University of Lahore,801–1000
Lakehead University,801–1000
University of La Laguna,801–1000
University of Latvia,801–1000
Leeds Beckett University,801–1000
Lithuanian University of Health Sciences,801–1000
University of Ljubljana,801–1000
University of Lleida,801–1000
Lovely Professional University,801–1000
Mae Fah Luang University,801–1000
Mahidol University,801–1000
Makerere University,801–1000
Universiti Malaysia Pahang,801–1000
University of Malta,801–1000
Manipal Academy of Higher Education,801–1000
Marquette University,801–1000
Masaryk University,801–1000
Medical University of Gdańsk,801–1000
University of Memphis,801–1000
University of Minho,801–1000
Mississippi State University,801–1000
University of Missouri-St Louis,801–1000
Montana State University,801–1000
Monterrey Institute of Technology,801–1000
University of Namur,801–1000
Nanjing Forestry University,801–1000
Nanjing University of Information Science and Technology,801–1000
Nanjing Normal University,801–1000
Nanjing Tech University,801–1000
National Institute of Applied Sciences of Lyon (INSA Lyon),801–1000
École Nationale des Travaux Publics de l'État (ENTPE),801–1000
National University of Sciences and Technology,801–1000
National Sun Yat-Sen University,801–1000
National Taiwan Normal University,801–1000
National Technical University of Athens,801–1000
National Institute of Technology Hamirpur,801–1000
"National Institute of Technology, Tiruchirappalli",801–1000
The New School,801–1000
New Mexico State University (Main campus),801–1000
Nippon Medical School,801–1000
University of North Carolina at Greensboro,801–1000
"Northeastern University, China",801–1000
Northeast Normal University,801–1000
University of Northern British Columbia (UNBC),801–1000
Northern Illinois University,801–1000
Ohio University (Main campus),801–1000
Old Dominion University,801–1000
Ozyegin University,801–1000
Pablo de Olavide University,801–1000
University of Palermo,801–1000
Panjab University,801–1000
Panthéon-Sorbonne University – Paris 1,801–1000
Parthenope University of Naples,801–1000
Universiti Pendidikan Sultan Idris,801–1000
University of Peshawar,801–1000
University of the Philippines,801–1000
Universitat Politècnica de Catalunya,801–1000
Polytechnic University of Valencia,801–1000
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),801–1000
Pontifical Catholic University of Rio Grande do Sul (PUCRS),801–1000
Pontifical Javeriana University,801–1000
University of Pretoria,801–1000
Princess Nourah bint Abdulrahman University,801–1000
University of the Punjab,801–1000
University of Rennes 1,801–1000
University of Rhode Island,801–1000
Rhodes University,801–1000
University of Roehampton,801–1000
University of Rome III,801–1000
Roskilde University,801–1000
University of Salamanca,801–1000
University of Salento,801–1000
University of Salford,801–1000
University of Science and Technology Beijing,801–1000
University of La Serena,801–1000
Shahid Beheshti University,801–1000
Shantou University,801–1000
Sheffield Hallam University,801–1000
Shiraz University,801–1000
Shiraz University of Medical Sciences,801–1000
University of Siegen,801–1000
University of South Bohemia in České Budějovice,801–1000
South China Normal University,801–1000
Southern Illinois University Carbondale,801–1000
Suez Canal University,801–1000
Sunway University,801–1000
Symbiosis International University,801–1000
Taibah University,801–1000
Tanta University,801–1000
"University of Technology, Iraq",801–1000
Universiti Tenaga Nasional (UNITEN),801–1000
University of Texas at El Paso,801–1000
Texas Tech University,801–1000
University of Thessaly,801–1000
Toronto Metropolitan University,801–1000
Tribhuvan University,801–1000
University of Urbino Carlo Bo,801–1000
Vilnius University,801–1000
VIT University,801–1000
University of Warsaw,801–1000
Wenzhou Medical University,801–1000
University of Winchester,801–1000
University of Wisconsin-Milwaukee,801–1000
Worcester Polytechnic Institute,801–1000
University of Wyoming,801–1000
Yangzhou University,801–1000
Yeungnam University,801–1000
Zagazig University,801–1000
Zewail City of Science and Technology,801–1000
Zhejiang University of Finance and Economics,801–1000
University of A Coruña,1001–1200
"Adam Mickiewicz University, Poznań",1001–1200
Ain Shams University,1001–1200
Al-Farabi Kazakh National University,1001–1200
University of Algarve,1001–1200
University of Almería,1001–1200
Amity University,1001–1200
University of Anbar,1001–1200
"University of the Andes, Colombia",1001–1200
Arts et Métiers,1001–1200
Assiut University,1001–1200
Atılım University,1001–1200
Autonomous University of Sinaloa,1001–1200
Babeş-Bolyai University,1001–1200
Bahauddin Zakariya University,1001–1200
Bayero University,1001–1200
Beijing Jiaotong University,1001–1200
University of Botswana,1001–1200
Bowling Green State University,1001–1200
Instituto Politécnico de Bragança,1001–1200
University of Burgos,1001–1200
University of Calcutta,1001–1200
Cardiff Metropolitan University,1001–1200
Carlos III University of Madrid,1001–1200
Technical University of Cartagena,1001–1200
University of Castilla-La Mancha,1001–1200
Universidad Católica San Antonio de Murcia (UCAM),1001–1200
University of Central Lancashire,1001–1200
Chang Gung University,1001–1200
Charles Sturt University,1001–1200
Chiang Mai University,1001–1200
Chiba University,1001–1200
