University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
University at Buffalo,307,301–350,300.0,,,131.0
"University of California, Merced",308,301–350,856.0,,401-500,644.0
Dalhousie University,310,301–350,341.0,308,301-400,241.0
Drexel University,311,301–350,362.0,651-700,301-400,245.0
École Normale Supérieure de Lyon,312,301–350,507.0,111,,
University of Essex,313,301–350,774.0,,401-500,483.0
Flinders University,314,301–350,541.0,425,401-500,418.0
Florida State University,315,301–350,289.0,511-520,201-300,138.0
George Mason University,317,301–350,465.0,1001-1200,201-300,225.0
Hasselt University,318,301–350,847.0,449,601-700,
University of Iowa,319,301–350,142.0,467,201-300,82.0
University of Milan,321,301–350,179.0,324,151-200,
University of Milan-Bicocca,322,301–350,336.0,601-650,301-400,
Nagoya University,324,301–350,112.0,112,101-150,
Nankai University,325,301–350,228.0,378,201-300,
University of Otago,326,301–350,372.0,217,301-400,315.0
University of Oulu,327,301–350,459.0,392,401-500,
RMIT University,330,301–350,482.0,190,301-400,222.0
University of St Gallen,331,301–350,605.0,,,
Saint Louis University,332,301–350,450.0,601-650,601-700,476.0
University of South Australia,333,301–350,538.0,363,501-600,389.0
University of Southern Queensland,334,301–350,1136.0,651-700,501-600,6867.0
Stony Brook University,335,301–350,203.0,,301-400,192.0
University of Stuttgart,336,301–350,476.0,,301-400,
Swinburne University of Technology,337,301–350,616.0,296,201-300,957.0
Taipei Medical University,338,301–350,701.0,,601-700,
Tampere University,339,301–350,429.0,415,401-500,
University of Tasmania,340,301–350,406.0,293,201-300,364.0
Technical University of Darmstadt,341,301–350,493.0,275,,
Temple University,342,301–350,351.0,751-800,401-500,161.0
Tokyo Institute of Technology,344,301–350,157.0,,151-200,
University College Cork,345,301–350,525.0,303,301-400,391.0
University of Victoria,346,301–350,397.0,,301-400,
American University of Beirut,347,351–400,727.0,,701-800,735.0
"Asia University, Taiwan",348,351–400,1107.0,1001-1200,,1176.0
"Birkbeck, University of London",350,351–400,738.0,343,,733.0
University of Bremen,351,351–400,545.0,,501-600,
University of Brescia,352,351–400,607.0,801-1000,,
Catholic University of Portugal,354,351–400,1644.0,,,
Central South University,355,351–400,226.0,499,101-150,
Charles Darwin University,356,351–400,1100.0,701-750,801-900,1007.0
"City, University of London",357,351–400,862.0,355,,
University of Delaware,358,351–400,304.0,581-590,201-300,168.0
East China Normal University,359,351–400,369.0,541-550,201-300,
Edith Cowan University,360,351–400,988.0,601-650,601-700,557.0
University of Greifswald,362,351–400,757.0,,,
Harbin Institute of Technology,364,351–400,195.0,217,151-200,
Howard University,365,351–400,1213.0,751-800,,809.0
IMT Atlantique,367,351–400,1076.0,,,
James Cook University,368,351–400,489.0,461,301-400,459.0
University of Kent,370,351–400,672.0,375,401-500,409.0
Khalifa University,371,351–400,915.0,181,801-900,977.0
Leuphana University of Lüneburg,373,351–400,1403.0,,,
University of Liège,374,351–400,290.0,,301-400,
Loughborough University,375,351–400,642.0,256,701-800,371.0
University of Malaya,376,351–400,391.0,,301-400,291.0
University of Manitoba,377,351–400,283.0,651-700,201-300,262.0
Mazandaran University of Medical Sciences,378,351–400,1840.0,,,3094.0
University of Naples Federico II,379,351–400,238.0,416,201-300,
North Carolina State University,381,351–400,188.0,312,,77.0
"Royal Holloway, University of London",383,351–400,532.0,402,601-700,1307.0
Royal Veterinary College,384,351–400,1320.0,,,
Rush University,385,351–400,521.0,,501-600,1525.0
University of Stirling,387,351–400,910.0,501-510,801-900,616.0
Swedish University of Agricultural Sciences,388,351–400,405.0,,301-400,
University of Texas at Dallas,389,351–400,424.0,,,
Tulane University,390,351–400,453.0,471,601-700,355.0
University of Turku,391,351–400,395.0,291,401-500,
Wake Forest University,394,351–400,257.0,438,501-600,383.0
Washington State University,395,351–400,298.0,443,301-400,
Wroclaw Medical University,396,351–400,926.0,,801-900,
University of Alaska Fairbanks,398,401–500,760.0,467,501-600,545.0
Aston University,400,401–500,959.0,561-570,,631.0
Babol Noshirvani University of Technology,403,401–500,1324.0,,,
Bangor University,404,401–500,747.0,601-650,601-700,706.0
University of Bayreuth,405,401–500,641.0,511-520,701-800,
Brunel University London,406,401–500,560.0,412,,
