University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
Kyrgyz-Turkish Manas University,1973,Reporter,,,,4312.0
Lagos State University,1975,Reporter,,,,3382.0
Knowledge University,1976,Reporter,,,,4704.0
Landmark University,1978,Reporter,,,,2283.0
La Salle University,1979,Reporter,,,,2354.0
Leeds Arts University,1981,Reporter,,,,9303.0
Leeds Trinity University,1983,Reporter,,,,3850.0
Koya University,1984,Reporter,,,,4514.0
University of Liberal Arts Bangladesh,1986,Reporter,,,,4425.0
Liverpool Hope University,1987,Reporter,,,,2545.0
Liverpool Institute for Performing Arts,1988,Reporter,,,,9965.0
Liverpool School of Tropical Medicine,1989,Reporter,,,,1417.0
Loei Rajabhat University,1991,Reporter,,,,6778.0
London Business School,1992,Reporter,,,,1073.0
London School of Hygiene and Tropical Medicine,1993,Reporter,,,,338.0
London Metropolitan University,1994,Reporter,,,,1807.0
"Michael Okpara University of Agriculture, Umudike",2006,Reporter,,,,5558.0
Middle Technical University,2007,Reporter,,,,3972.0
Mindanao State University – Iligan Institute of Technology,2008,Reporter,,,,3422.0
University of Misan,2011,Reporter,,,,4401.0
Mahatma Jyotiba Phule Rohilkhand University,2013,Reporter,,,,4463.0
Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,2017,Reporter,,,,4573.0
October University for Modern Sciences and Arts (MSA),2020,Reporter,,,,3495.0
Muban Chombueng Rajabhat University,2021,Reporter,,,,8939.0
Mulungushi University,2023,Reporter,,,,7824.0
Mutah University,2024,Reporter,,,,3019.0
Universidad Nacional de Chimborazo,2025,Reporter,,,,4672.0
Najran University,2028,Reporter,,,,2317.0
National University of Computer and Emerging Sciences,2036,Reporter,,,,2010.0
National Film and Television School,2037,Reporter,,,,9242.0
National Polytechnic University of Armenia,2042,Reporter,,,,9334.0
"National University, Sudan",2045,Reporter,,,,10091.0
Universitas Negeri Surabaya,2051,Reporter,,,,3585.0
Newman University,2052,Reporter,,,,5010.0
Niger Delta University,2053,Reporter,,,,4686.0
Nile University,2058,Reporter,,,,2771.0
Ninevah University,2059,Reporter,,,,6207.0
University of Northampton,2061,Reporter,,,,2007.0
Northern Technical University,2063,Reporter,,,,3779.0
Norwich University of the Arts,2064,Reporter,,,,9334.0
October 6 University,2068,Reporter,,,,4277.0
Palestine Polytechnic University,2073,Reporter,,,,4307.0
University of Petra,2078,Reporter,,,,3641.0
University of Phayao,2080,Reporter,,,,2131.0
Philadelphia University (Jordan),2081,Reporter,,,,1923.0
Universidad Popular Autónoma del Estado de Puebla,2086,Reporter,,,,4124.0
University of Puthisastra,2090,Reporter,,,,8748.0
Queen Margaret University,2091,Reporter,,,,2481.0
Rajamangala University of Technology Isan,2092,Reporter,,,,2429.0
Rennes School of Business,2095,Reporter,,,,3090.0
REVA University,2096,Reporter,,,,6466.0
Rose Bruford College,2097,Reporter,,,,10869.0
Royal Agricultural University,2098,Reporter,,,,4768.0
Royal College of Art,2100,Reporter,,,,2884.0
Royal Academy of Music,2102,Reporter,,,,7232.0
Royal College of Music,2103,Reporter,,,,7216.0
Royal Northern College of Music,2104,Reporter,,,,8151.0
University of Sadat City,2105,Reporter,,,,3451.0
Sakon Nakhon Rajabhat University,2107,Reporter,,,,7164.0
Samarkand State University,2110,Reporter,,,,6747.0
Universidad San Ignacio de Loyola,2113,Reporter,,,,3831.0
University of Santo Tomas,2115,Reporter,,,,2630.0
Saudi Electronic University,2117,Reporter,,,,2851.0
University of Science and Technology of Southern Philippines (USTP),2119,Reporter,,,,5854.0
Sefako Makgatho Health Sciences University,2120,Reporter,,,,3270.0
Shri Mata Vaishno Devi University,2127,Reporter,,,,3242.0
Sir Syed University of Engineering and Technology,2132,Reporter,,,,5410.0
Sokoto State University,2133,Reporter,,,,11565.0
Soran University,2136,Reporter,,,,3491.0
University of Sri Jayewardenepura,2140,Reporter,,,,1944.0
Sri Lanka Institute of Information Technology,2141,Reporter,,,,6657.0
Stranmillis University College,2147,Reporter,,,,7380.0
Suez University,2148,Reporter,,,,4665.0
University of Suffolk,2149,Reporter,,,,3178.0
Sulaimani Polytechnic University,2151,Reporter,,,,4148.0
Suratthani Rajabhat University,2152,Reporter,,,,7150.0
Tafila Technical University,2154,Reporter,,,,4154.0
Tashkent Medical Academy,2162,Reporter,,,,6610.0
Tashkent State University of Law,2167,Reporter,,,,10217.0
Tashkent Institute of Textile and Light Industry,2172,Reporter,,,,11528.0
Instituto Tecnológico Metropolitano,2176,Reporter,,,,4180.0
Tikrit University,2182,Reporter,,,,3075.0
Turin Polytechnic University in Tashkent,2187,Reporter,,,,9090.0
Ubon Ratchathani University,2188,Reporter,,,,2127.0
United International University,2193,Reporter,,,,4049.0
Urgench State University,2198,Reporter,,,,7031.0
Universidad UTE,2201,Reporter,,,,4335.0
University of Uyo,2202,Reporter,,,,3401.0
Visayas State University,2212,Reporter,,,,4124.0
University of West London,2216,Reporter,,,,1372.0
West Virginia University,2218,Reporter,,,,316.0
University of Worcester,2220,Reporter,,,,3331.0
Writtle University College,2224,Reporter,,,,8286.0
Ziauddin University,2232,Reporter,,,,4327.0
Zarqa University,2233,Reporter,,,,4067.0
