University Name,CWUR World University Rankings
University of South Bohemia,1041
National Taiwan Normal University,1042
University of Lleida,1043
Shanghai University of Finance and Economics,1044
Federal University of Santa Maria,1045
Osaka Prefecture University,1046
University of Toyama,1047
Guizhou University,1048
Brandenburg University of Technology,1049
Shantou University,1050
Aga Khan University,1051
Jadavpur University,1052
Tokyo Women's Medical University,1053
Hubei University,1054
SUNY Upstate Medical University,1055
Creighton University,1056
Manhattan College,1057
Manchester Metropolitan University,1058
University of Thessaly,1059
Gaziantep University,1060
University of Jaén,1061
University of New Brunswick,1062
Ramon Llull University,1063
Federal University of Goiás,1064
Hebei University of Technology,1065
Kagoshima University,1066
University of Urbino,1067
Hassan II University of Casablanca,1068
Paderborn University,1069
National Taipei University of Technology,1070
Paracelsus Medical University,1071
Institute of Science and Technology Austria,1072
Northeast Forestry University,1073
Copenhagen Business School,1074
Dankook University,1075
IMT Atlantique,1076
University of Maribor,1077
Dublin City University,1078
Kazan Federal University,1079
Tianjin University of Technology,1080
Worcester Polytechnic Institute,1081
Chang'an University,1082
Qilu University of Technology,1083
Luleå University of Technology,1084
Chuo University,1085
University of Salzburg,1086
Fordham University,1087
Tiangong University,1088
United States Naval Academy,1089
Mohammed First University Oujda,1090
Nanjing University of Chinese Medicine,1091
Postgraduate Institute of Medical Education and Research,1092
Addis Ababa University,1093
University of Canberra,1094
Charles Sturt University,1095
École nationale supérieure de chimie de Montpellier,1096
"University of Veterinary Medicine, Vienna",1097
Jichi Medical University,1098
Medical University of Gdańsk,1099
Charles Darwin University,1100
University of North Carolina at Greensboro,1101
Shahid Beheshti University,1102
Mersin University,1103
Åbo Akademi University,1104
Pablo de Olavide University,1105
"Indian Institute of Science Education and Research, Pune",1106
"Asia University, Taiwan",1107
Nottingham Trent University,1108
Hunan Agricultural University,1109
Medical University of Silesia,1110
Jiangsu Normal University,1111
Toho University,1112
Gunma University,1113
Koç University,1114
University of Waikato,1115
Tomsk Polytechnic University,1116
University of Novi Sad,1117
University of Calcutta,1118
Hainan University,1119
Kharkov Institute of Physics and Technology,1120
University of Puerto Rico at Mayagüez,1121
University of Kassel,1122
Metropolitan Autonomous University,1123
University of Massachusetts Lowell,1124
University of Augsburg,1125
University of the Free State,1126
Soonchunhyang University,1127
Monterrey Institute of Technology and Higher Education,1128
Hebei University,1129
University of Sfax,1130
Dalian Maritime University,1131
University of Hertfordshire,1132
Northeast Agricultural University,1133
Rouen Normandy University,1134
University of Pécs,1135
University of Southern Queensland,1136
Changzhou University,1137
Ural Federal University,1138
"University of Chemistry and Technology, Prague",1139
Duy Tân University,1140
Nagoya City University,1141
Visva-Bharati University,1142
Loma Linda University,1143
University of Évry Val d'Essonne,1144
Teikyo University,1145
Marquette University,1146
Huaqiao University,1147
National Defense Medical Center,1148
Federal University of Mato Grosso do Sul,1149
Dokuz Eylül University,1150
University of Neuchâtel,1151
Kyoto Prefectural University of Medicine,1152
Aligarh Muslim University,1153
"California State University, Fresno",1154
National Institute of Public Health (INSP),1155
Federal University of São João del-Rei,1156
University of Silesia in Katowice,1157
Henan University of Science and Technology,1158
Wuhan University of Science and Technology,1159
Czech University of Life Sciences Prague,1160
Santa Clara University,1161
Poznan University of Medical Sciences,1162
Assiut University,1163
Liverpool School of Tropical Medicine,1164
University of Las Palmas de Gran Canaria,1165
Indian Agricultural Research Institute,1166
Anna University,1167
Wenzhou University,1168
San Francisco State University,1169
Andrés Bello University,1170
University of Gdańsk,1171
University of Ibadan,1172
Yamaguchi University,1173
Pukyong National University,1174
Nara Institute of Science and Technology,1175
